Code,Borough,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015
E09000002,Barking and Dagenham,2408,2053,2032,2247,2335,2355,2256,2006,2400,2231,2309,2221,2418,2193,2212,2248,2200,2468,2323,2107,2280,2199,2232,2151,2246,2096,2115,2216,2233,2323,2369,2263,2253,2052,2234,2203,2310,2222,2144,2209,2266,2387,2461,2214,2409,2223,2321,2247,2379,2160,2190,2288,2271,2367,2382,2267,2483,2181,2373,2264,2310,2066,2118,2303,2247,2208,2237,1998,2376,2087,2274,2311,2286,2275
E09000003,Barnet,3342,3036,3169,3389,3363,3572,3501,3117,3362,3256,3319,3356,3504,3369,3466,3741,3561,3628,3532,3111,3369,3359,3335,3272,3315,3300,3269,3390,3211,3529,3551,3457,3644,3276,3460,3366,3467,3384,3397,3570,3454,3601,3815,3400,3753,3525,3629,3519,3677,3386,3349,3633,3695,3830,3805,3481,3734,3422,3590,3422,3535,3273,3241,3319,3354,3498,3366,2980,3438,3188,3337,3230,3476,3380
E09000004,Bexley,2227,1983,1997,2193,2132,2491,2219,2004,2093,2189,2157,2135,2238,2078,2081,2200,2219,2507,2326,2039,2223,2236,2205,2027,2129,2072,2154,2358,2238,2398,2270,2148,2361,2200,2310,2172,2273,2194,2157,2348,2338,2474,2427,2160,2611,2427,2339,2305,2567,2367,2226,2407,2426,2469,2500,2221,2561,2380,2443,2284,2232,2296,2115,2359,2261,2419,2376,2246,2322,2277,2276,2125,2345,2215
E09000005,Brent,3381,2898,2852,3229,3068,3340,3019,2827,3102,3208,3380,3211,3187,2992,3006,3245,3097,3527,3188,2868,3240,3101,3067,2787,3152,2910,2880,3262,2996,3129,3241,3291,3437,3236,3465,3212,3549,3347,3224,3424,3366,3446,3514,3088,3597,3356,3378,3475,3525,3328,3177,3363,3342,3416,3343,3148,3480,3280,3358,3263,3247,3129,3057,3157,3073,3336,3173,2925,3197,3056,3190,2985,3244,3287
E09000006,Bromley,2774,2609,2633,2926,2769,3066,2765,2521,2731,2676,2782,2759,2770,2679,2751,2831,2882,3129,2753,2476,2845,2669,2664,2571,2738,2619,2578,2852,2609,2907,2881,2781,2949,2746,2745,2717,2835,2922,2815,2884,2907,3011,3064,2716,3238,3098,3058,2904,3155,2893,2869,3207,3033,3267,3226,2901,3244,2974,3123,3100,2973,2808,2852,3065,2844,3053,3053,2593,2835,2875,2818,2784,2989,2989
E09000007,Camden,3055,2751,2779,3078,2912,2954,2888,2649,3070,2791,3084,3096,3266,2936,2987,3139,2936,3058,2994,2688,2903,2820,2976,2853,3027,2761,3002,2956,2839,2930,2880,2790,3037,2725,2943,3023,3155,3026,2807,3033,2959,2899,2972,2768,3121,2847,3072,2969,3195,2989,2877,3092,2994,2907,2985,2802,3360,2972,2993,2908,2829,2694,2643,2964,2717,2728,2657,2482,2693,2664,2759,2768,2809,2797
E09000001,City of London,533,423,496,508,544,564,420,482,529,481,527,510,575,453,555,641,552,525,503,442,508,460,474,461,617,470,484,505,560,573,418,448,570,479,493,493,621,544,555,596,561,504,443,470,560,514,558,554,606,586,537,575,563,526,502,529,545,522,535,548,526,472,509,556,562,522,475,454,462,441,481,516,584,508
E09000008,Croydon,3779,3520,3397,3851,3763,4068,3912,3470,3843,3764,3858,3910,4159,3808,3843,3888,3860,4229,3961,3500,3913,3879,3909,3791,3972,3764,3711,3835,3763,3903,3873,3859,4352,3932,4274,4281,4409,4257,4091,4206,4229,4662,4533,3992,4447,4122,4385,4258,4519,4033,3879,4117,4066,4250,4352,3877,4520,4098,4153,4073,3956,3832,3713,3815,3868,3964,3828,3478,3866,3676,3887,3669,3928,3731
E09000009,Ealing,3501,3068,3089,3336,3510,3607,3280,2966,3351,3368,3486,3403,3549,3380,3387,3526,3432,3693,3510,3089,3432,3402,3423,3365,3512,3407,3249,3330,3308,3460,3482,3526,3532,3448,3677,3342,3618,3423,3383,3352,3196,3512,3553,3254,3510,3369,3492,3400,3583,3390,3337,3389,3459,3444,3358,3189,3587,3336,3443,3183,3287,3048,3108,3186,3146,3342,3316,2912,3227,3173,3179,3148,3135,3164
E09000010,Enfield,3232,2858,2957,3273,3313,3534,3386,2979,3189,3221,3384,3220,3283,3125,3140,3342,3162,3656,3252,2974,3304,3210,3194,3028,3225,2944,3049,3131,2921,3504,3438,3302,3400,3217,3235,3154,3385,3203,3028,3236,3206,3461,3549,3335,3605,3472,3454,3415,3576,3290,3122,3472,3383,3566,3666,3382,3562,3329,3469,3208,3276,2933,2985,3166,3112,3420,3143,2799,3158,3135,3220,3040,3122,2902
